N,itm,Date,t,s
1,1,2025-10-29 18:30:00,14.26,33.6
2,2,2025-10-29 19:30:00,14.25,33.6
3,3,2025-10-29 20:30:00,14.24,33.6
4,4,2025-10-29 21:30:00,14.23,33.6
5,5,2025-10-29 22:30:00,14.22,33.6
6,6,2025-10-29 23:30:00,14.22,33.6
7,7,2025-10-30 00:30:00,14.21,33.6
8,8,2025-10-30 01:30:00,14.21,33.6
9,9,2025-10-30 02:30:00,14.2,33.6
10,10,2025-10-30 03:30:00,14.19,33.6
11,11,2025-10-30 04:30:00,14.18,33.6
12,12,2025-10-30 05:30:00,14.18,33.6
13,13,2025-10-30 06:30:00,14.18,33.6
14,14,2025-10-30 07:30:00,14.19,33.6
15,15,2025-10-30 08:30:00,14.19,33.6
16,16,2025-10-30 09:30:00,14.18,33.6
17,17,2025-10-30 10:30:00,14.18,33.6
18,18,2025-10-30 11:30:00,14.18,33.6
19,19,2025-10-30 12:30:00,14.17,33.6
20,20,2025-10-30 13:30:00,14.17,33.6
21,21,2025-10-30 14:30:00,14.16,33.6
22,22,2025-10-30 15:30:00,14.16,33.6
23,23,2025-10-30 16:30:00,14.15,33.6
24,24,2025-10-30 17:30:00,14.14,33.6
25,25,2025-10-30 18:30:00,14.13,33.5
26,26,2025-10-30 19:30:00,14.12,33.5
27,27,2025-10-30 20:30:00,14.11,33.5
28,28,2025-10-30 21:30:00,14.1,33.5
29,29,2025-10-30 22:30:00,14.11,33.5
30,30,2025-10-30 23:30:00,14.12,33.5
31,31,2025-10-31 00:30:00,14.13,33.5
32,32,2025-10-31 01:30:00,14.13,33.5
33,33,2025-10-31 02:30:00,14.13,33.5
34,34,2025-10-31 03:30:00,14.14,33.5
35,35,2025-10-31 04:30:00,14.14,33.5
36,36,2025-10-31 05:30:00,14.14,33.5
37,37,2025-10-31 06:30:00,14.14,33.5
38,38,2025-10-31 07:30:00,14.14,33.5
39,39,2025-10-31 08:30:00,14.14,33.5
40,40,2025-10-31 09:30:00,14.14,33.5
41,41,2025-10-31 10:30:00,14.14,33.5
42,42,2025-10-31 11:30:00,14.14,33.5
43,43,2025-10-31 12:30:00,14.14,33.5
44,44,2025-10-31 13:30:00,14.14,33.5
45,45,2025-10-31 14:30:00,14.14,33.5
46,46,2025-10-31 15:30:00,14.14,33.5
47,47,2025-10-31 16:30:00,14.13,33.5
48,48,2025-10-31 17:30:00,14.13,33.5
49,49,2025-10-31 18:30:00,14.12,33.5
50,50,2025-10-31 19:30:00,14.12,33.5
51,51,2025-10-31 20:30:00,14.11,33.5
52,52,2025-10-31 21:30:00,14.11,33.5
53,53,2025-10-31 22:30:00,14.1,33.5
54,54,2025-10-31 23:30:00,14.1,33.5
55,55,2025-11-01 00:30:00,14.09,33.5
56,56,2025-11-01 01:30:00,14.08,33.5
57,57,2025-11-01 02:30:00,14.08,33.5
58,58,2025-11-01 03:30:00,14.07,33.5
59,59,2025-11-01 04:30:00,14.07,33.4
60,60,2025-11-01 05:30:00,14.06,33.4
61,61,2025-11-01 06:30:00,14.05,33.4
62,62,2025-11-01 07:30:00,14.02,33.4
63,63,2025-11-01 08:30:00,13.98,33.4
64,64,2025-11-01 09:30:00,13.93,33.3
